x-axis,WaveGen-ARB
second,Volt
378.00E-009,0.2420E+00
379.00E-009,0.2420E+00
380.00E-009,0.2420E+00
381.00E-009,0.2442E+00
382.00E-009,0.2442E+00
383.00E-009,0.2442E+00
384.00E-009,0.1268E+00
385.00E-009,0.1274E+00
386.00E-009,0.0683E+00
387.00E-009,0.0704E+00
388.00E-009,-0.0484E+00
389.00E-009,-0.1714E+00
390.00E-009,-0.2319E+00
391.00E-009,-0.1725E+00
392.00E-009,-0.2347E+00
393.00E-009,-0.2347E+00
394.00E-009,-0.1752E+00
395.00E-009,-0.1168E+00
396.00E-009,-0.1177E+00
397.00E-009,-0.0582E+00
398.00E-009,0.0016E+00
399.00E-009,0.1246E+00
400.00E-009,0.1274E+00
401.00E-009,0.0647E+00
402.00E-009,0.1269E+00
403.00E-009,0.1269E+00
404.00E-009,0.1275E+00
405.00E-009,0.1275E+00
406.00E-009,0.1279E+00
407.00E-009,-0.0522E+00
408.00E-009,-0.0562E+00
409.00E-009,-0.0562E+00
410.00E-009,-0.0582E+00
411.00E-009,-0.0583E+00
412.00E-009,-0.0583E+00
413.00E-009,-0.0583E+00
414.00E-009,-0.0010E+00
415.00E-009,-0.0619E+00
416.00E-009,-0.0024E+00
417.00E-009,0.1777E+00
418.00E-009,0.1831E+00
419.00E-009,0.1252E+00
420.00E-009,0.0650E+00
421.00E-009,-0.0511E+00
422.00E-009,-0.0511E+00
423.00E-009,-0.1696E+00
424.00E-009,-0.1696E+00
425.00E-009,-0.1707E+00
426.00E-009,-0.1707E+00
427.00E-009,-0.1707E+00
428.00E-009,-0.1132E+00
429.00E-009,-0.1127E+00
430.00E-009,-0.1137E+00
431.00E-009,0.0024E+00
432.00E-009,-0.1205E+00
433.00E-009,-0.1222E+00
434.00E-009,-0.1222E+00
435.00E-009,-0.0602E+00
436.00E-009,-0.0602E+00
437.00E-009,-0.0602E+00
438.00E-009,-0.0602E+00
439.00E-009,-0.0602E+00
440.00E-009,0.0607E+00
441.00E-009,0.1235E+00
442.00E-009,0.1855E+00
443.00E-009,0.2474E+00
444.00E-009,0.2474E+00
445.00E-009,0.1893E+00
446.00E-009,0.0713E+00
447.00E-009,0.0713E+00
448.00E-009,-0.0478E+00
449.00E-009,0.0097E+00
450.00E-009,0.0097E+00
451.00E-009,-0.0524E+00
452.00E-009,-0.0506E+00
453.00E-009,0.0077E+00
454.00E-009,-0.0536E+00
455.00E-009,-0.1755E+00
456.00E-009,-0.0575E+00
457.00E-009,-0.1732E+00
458.00E-009,-0.1147E+00
459.00E-009,-0.1147E+00
460.00E-009,-0.1147E+00
461.00E-009,-0.0526E+00
462.00E-009,0.0065E+00
463.00E-009,0.0065E+00
464.00E-009,0.0678E+00
465.00E-009,0.2478E+00
466.00E-009,0.1899E+00
467.00E-009,0.2452E+00
468.00E-009,0.2444E+00
469.00E-009,0.1819E+00
470.00E-009,0.0609E+00
471.00E-009,-0.0609E+00
472.00E-009,-0.0609E+00
473.00E-009,-0.0609E+00
474.00E-009,-0.1787E+00
475.00E-009,-0.2387E+00
476.00E-009,-0.1808E+00
477.00E-009,-0.1800E+00
478.00E-009,-0.1185E+00
479.00E-009,-0.1141E+00
480.00E-009,-0.0550E+00
481.00E-009,-0.1154E+00
482.00E-009,-0.2398E+00
483.00E-009,-0.2398E+00
484.00E-009,-0.1220E+00
485.00E-009,-0.0620E+00
486.00E-009,-0.1217E+00
487.00E-009,-0.0622E+00
488.00E-009,-0.1196E+00
489.00E-009,-0.1227E+00
490.00E-009,-0.0607E+00
491.00E-009,0.1214E+00
492.00E-009,0.1855E+00
493.00E-009,0.1855E+00
494.00E-009,0.1855E+00
495.00E-009,0.1855E+00
496.00E-009,0.2451E+00
497.00E-009,0.2451E+00
498.00E-009,0.3025E+00
499.00E-009,0.3057E+00
500.00E-009,0.3057E+00
501.00E-009,0.1842E+00
502.00E-009,0.2446E+00
503.00E-009,0.1867E+00
504.00E-009,0.1263E+00
505.00E-009,0.0693E+00
506.00E-009,0.0693E+00
507.00E-009,0.0693E+00
508.00E-009,0.0693E+00
509.00E-009,0.1273E+00
510.00E-009,0.1273E+00
511.00E-009,0.1861E+00
512.00E-009,0.1253E+00
513.00E-009,0.1221E+00
514.00E-009,0.1240E+00
515.00E-009,0.1811E+00
516.00E-009,0.1811E+00
517.00E-009,0.1811E+00
518.00E-009,0.1811E+00
519.00E-009,0.1811E+00
520.00E-009,0.1811E+00
521.00E-009,0.2437E+00
522.00E-009,0.3046E+00
523.00E-009,0.3048E+00
524.00E-009,0.3632E+00
525.00E-009,0.1247E+00
526.00E-009,0.0061E+00
527.00E-009,0.0061E+00
528.00E-009,0.0061E+00
529.00E-009,0.0061E+00
530.00E-009,-0.0533E+00
531.00E-009,-0.1152E+00
532.00E-009,-0.1152E+00
533.00E-009,-0.1702E+00
534.00E-009,-0.1702E+00
535.00E-009,0.0086E+00
536.00E-009,0.0056E+00
537.00E-009,0.0056E+00
538.00E-009,0.0056E+00
539.00E-009,-0.1127E+00
540.00E-009,-0.0533E+00
541.00E-009,-0.0519E+00
542.00E-009,-0.0519E+00
543.00E-009,-0.0533E+00
544.00E-009,-0.0533E+00
545.00E-009,0.0064E+00
546.00E-009,0.0710E+00
547.00E-009,0.0710E+00
548.00E-009,0.0121E+00
549.00E-009,0.1303E+00
550.00E-009,0.0711E+00
551.00E-009,0.0687E+00
552.00E-009,0.0077E+00
553.00E-009,0.1251E+00
554.00E-009,0.1251E+00
555.00E-009,0.0062E+00
556.00E-009,0.0633E+00
557.00E-009,0.0057E+00
558.00E-009,0.0067E+00
559.00E-009,0.0067E+00
560.00E-009,-0.1130E+00
561.00E-009,-0.2277E+00
562.00E-009,-0.1668E+00
563.00E-009,-0.1668E+00
564.00E-009,-0.2296E+00
565.00E-009,-0.1686E+00
